sort,name,data_type,question,value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7
163,assist_3_1,numeric,"During the past month, how often have you had a strong desire or urge to use any of the substances below? - Tobacco products (cigarettes, chewing tobacco, cigars, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
164,assist_3_2,numeric,"During the past month, how often have you had a strong desire or urge to use any of the substances below? - Cannabis (marijuana, pot, grass, hash, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
165,assist_3_3,numeric,"During the past month, how often have you had a strong desire or urge to use any of the substances below? - Cocaine (coke, crack, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
166,assist_3_4,numeric,"During the past month, how often have you had a strong desire or urge to use any of the substances below? - Amphetamine type stimulants (speed, diet pills, ecstasy, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
167,assist_3_5,numeric,"During the past month, how often have you had a strong desire or urge to use any of the substances below? - Inhalants (nitrous, glue, petrol, paint thinner, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
168,assist_3_6,numeric,"During the past month, how often have you had a strong desire or urge to use any of the substances below? - Sedatives or Sleeping Pills (Valium, Serepax, Rohypnol, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
169,assist_3_7,numeric,"During the past month, how often have you had a strong desire or urge to use any of the substances below? - Hallucinogens (LSD, acid, mushrooms, PCP, Special K, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
170,assist_3_8,numeric,"During the past month, how often have you had a strong desire or urge to use any of the substances below? - Opioids (heroin, morphine, methadone, codeine, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
171,scale_pacs_tot,numeric,total scale score,,NA,NA,NA,NA,NA,NA,NA,NA
172,scale_aase_na,numeric,negative affect scale score,,NA,NA,NA,NA,NA,NA,NA,NA
173,scale_aase_soc,numeric,social interaction scale score,,NA,NA,NA,NA,NA,NA,NA,NA
174,scale_aase_phys,numeric,physical concerns scale score,,NA,NA,NA,NA,NA,NA,NA,NA
175,scale_aase_crav,numeric,cravings and urges scale score,,NA,NA,NA,NA,NA,NA,NA,NA
176,scale_mam_housing,character,housing scale score,,NA,NA,NA,NA,NA,NA,NA,NA
177,scale_mam_psychhosp,character,psych hospitalization scale score,,NA,NA,NA,NA,NA,NA,NA,NA
178,scale_mam_arrest,character,arrests scale score,,NA,NA,NA,NA,NA,NA,NA,NA
179,scale_mam_jail,character,jail scale score,,NA,NA,NA,NA,NA,NA,NA,NA
180,scale_mam_violentcrime,character,violent crime scale score,,NA,NA,NA,NA,NA,NA,NA,NA
181,scale_mam_nonviolentcrime,character,non-violent crime scale score,,NA,NA,NA,NA,NA,NA,NA,NA
182,scale_mam_aodtxt,character,AOD treatment scale score,,NA,NA,NA,NA,NA,NA,NA,NA
183,scale_mam_numindcounsel,numeric,number independent counselling sessions scale score,,NA,NA,NA,NA,NA,NA,NA,NA
184,scale_mam_numgrpcounsel,numeric,number group counselling sessions scale score,,NA,NA,NA,NA,NA,NA,NA,NA
185,scale_mam_numselfhelp,numeric,number of self-help meetings scale score,,NA,NA,NA,NA,NA,NA,NA,NA
186,scale_mam_othercounsel,character,other counselling scale score,,NA,NA,NA,NA,NA,NA,NA,NA
187,scale_mam_numothercounse,numeric,number of other counselling scale score,,NA,NA,NA,NA,NA,NA,NA,NA
188,scale_mam_numdayssupport,numeric,number of support days scale score,,NA,NA,NA,NA,NA,NA,NA,NA
189,scale_mam_numdaysnotsupport,numeric,number of not-supported days scale score,,NA,NA,NA,NA,NA,NA,NA,NA
190,scale_mam_numdaysworkschoolvol,numeric,number of school/work/volunteering days scale score,,NA,NA,NA,NA,NA,NA,NA,NA
191,scale_mam_religonassupport,numeric,religious support scale score,,NA,NA,NA,NA,NA,NA,NA,NA
192,scale_mam_alcmeduse,character,prescribed med use days scale score,,NA,NA,NA,NA,NA,NA,NA,NA
193,scale_assist_2_all,numeric,all drug use scale score,,NA,NA,NA,NA,NA,NA,NA,NA
194,scale_assist_AllUrge,numeric,all urge to use scale score,,NA,NA,NA,NA,NA,NA,NA,NA
195,scale_dass21_anx,numeric,anxiety scale score,,NA,NA,NA,NA,NA,NA,NA,NA
196,scale_dass21_dep,numeric,depression scale score,,NA,NA,NA,NA,NA,NA,NA,NA
197,scale_dass21_str,numeric,stress scale store,,NA,NA,NA,NA,NA,NA,NA,NA
198,scale_dass21_tot,numeric,total scale score,,NA,NA,NA,NA,NA,NA,NA,NA
199,scale_pss_tot,numeric,total scale score,,NA,NA,NA,NA,NA,NA,NA,NA
200,scale_qol_tot,numeric,total scale score,,NA,NA,NA,NA,NA,NA,NA,NA
201,scale_das_con,numeric,consensus scale score,,NA,NA,NA,NA,NA,NA,NA,NA
202,scale_das_sat,numeric,satisfaction scale score,,NA,NA,NA,NA,NA,NA,NA,NA
203,scale_das_coh,numeric,dyadic cohesion scale score,,NA,NA,NA,NA,NA,NA,NA,NA
204,scale_das_aff,numeric,affectional expression scale score,,NA,NA,NA,NA,NA,NA,NA,NA
205,scale_das_tot,numeric,total scale score,,NA,NA,NA,NA,NA,NA,NA,NA
206,scale_mspss_fam,numeric,family scale score,,NA,NA,NA,NA,NA,NA,NA,NA
207,scale_mspss_fri,numeric,friends scale score,,NA,NA,NA,NA,NA,NA,NA,NA
208,scale_mspss_so,numeric,significant other scale score,,NA,NA,NA,NA,NA,NA,NA,NA
