name,data_type,label,value,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10
scl90_14,numeric,How bothered or distressed were you during the past month by ...... - Feeling low in energy or slowed down,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_15,numeric,How bothered or distressed were you during the past month by ...... - Thoughts of ending your life,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_16,numeric,How bothered or distressed were you during the past month by ...... - Hearing voices that other people do not hear,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_17,numeric,How bothered or distressed were you during the past month by ...... - Trembling,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_18,numeric,How bothered or distressed were you during the past month by ...... - Feeling that most people cannot be trusted,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_19,numeric,How bothered or distressed were you during the past month by ...... - Poor appetite,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_20,numeric,How bothered or distressed were you during the past month by ...... - Crying easily,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_21,numeric,How bothered or distressed were you during the past month by ...... - Feeling shy or uneasy with the opposite sex,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_22,numeric,How bothered or distressed were you during the past month by ...... - Feeling of being trapped or caught,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_23,numeric,How bothered or distressed were you during the past month by ...... - Suddenly scared for no reason,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_24,numeric,How bothered or distressed were you during the past month by ...... - Temper outbursts that you could not control,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_25,numeric,How bothered or distressed were you during the past month by ...... - Feeling afraid to go out of your house alone,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_26,numeric,How bothered or distressed were you during the past month by ...... - Blaming yourself for things,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_27,numeric,How bothered or distressed were you during the past month by ...... - Pains in lower back,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_28,numeric,How bothered or distressed were you during the past month by ...... - Feeling blocked in getting things done,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_29,numeric,How bothered or distressed were you during the past month by ...... - Feeling lonely,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_30,numeric,How bothered or distressed were you during the past month by ...... - Feeling blue,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_31,numeric,How bothered or distressed were you during the past month by ...... - Worrying too much about things,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_32,numeric,How bothered or distressed were you during the past month by ...... - Feeling no interest in things,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_33,numeric,How bothered or distressed were you during the past month by ...... - Feeling fearful,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_34,numeric,How bothered or distressed were you during the past month by ...... - Your feelings being easily hurt,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_35,numeric,How bothered or distressed were you during the past month by ...... - Other people being aware of your private thoughts,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_36,numeric,How bothered or distressed were you during the past month by ...... - Feeling others do not understand you or are unsympathetic,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_37,numeric,How bothered or distressed were you during the past month by ...... - Feeling that people are unfriendly or dislike you,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_38,numeric,How bothered or distressed were you during the past month by ...... - Having to do things very slowly to insure correctness,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_39,numeric,How bothered or distressed were you during the past month by ...... - Heart pounding or racing,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_40,numeric,How bothered or distressed were you during the past month by ...... - Nausea or upset stomach,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_41,numeric,How bothered or distressed were you during the past month by ...... - Feeling inferior to others,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_42,numeric,How bothered or distressed were you during the past month by ...... - Soreness of your muscles,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_43,numeric,How bothered or distressed were you during the past month by ...... - Feeling that you are watched or talked about by others,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_44,numeric,How bothered or distressed were you during the past month by ...... - Trouble falling asleep,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_45,numeric,How bothered or distressed were you during the past month by ...... - Having to check and double-check what you do,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_46,numeric,How bothered or distressed were you during the past month by ...... - Difficulty making decisions,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_47,numeric,"How bothered or distressed were you during the past month by ...... - Feeling afraid to travel on buses, subways, trains",NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_48,numeric,How bothered or distressed were you during the past month by ...... - Trouble getting your breath,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_49,numeric,How bothered or distressed were you during the past month by ...... - Hot or cold spells,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_50,numeric,"How bothered or distressed were you during the past month by ...... - Having to avoid certain things, places, or activities because they frighten you",NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_51,numeric,How bothered or distressed were you during the past month by ...... - Your mind going blank,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_52,numeric,How bothered or distressed were you during the past month by ...... - Numbness or tingling in parts of your body,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_53,numeric,How bothered or distressed were you during the past month by ...... - A lump in your throat,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_54,numeric,How bothered or distressed were you during the past month by ...... - Feeling hopeless about the future,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_55,numeric,How bothered or distressed were you during the past month by ...... - Trouble concentrating,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_56,numeric,How bothered or distressed were you during the past month by ...... - Feeling weak in parts of your body,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_57,numeric,How bothered or distressed were you during the past month by ...... - Feeling tense or keyed up,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_58,numeric,How bothered or distressed were you during the past month by ...... - Heavy feelings in your arms or legs,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_59,numeric,How bothered or distressed were you during the past month by ...... - Thoughts of death or dying,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_60,numeric,How bothered or distressed were you during the past month by ...... - Overeating,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_61,numeric,How bothered or distressed were you during the past month by ...... - Feeling uneasy when people are watching or talking about you,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_62,numeric,How bothered or distressed were you during the past month by ...... - Having thoughts that are not your own,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_63,numeric,"How bothered or distressed were you during the past month by ...... - Having urges to beat, injure, or harm someone",NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_64,numeric,How bothered or distressed were you during the past month by ...... - Awakening in the early morning,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_65,numeric,"How bothered or distressed were you during the past month by ...... - Having to repeat the same actions such as touching, counting, washing",NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_66,numeric,How bothered or distressed were you during the past month by ...... - Sleep that is restless or disturbed,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_67,numeric,How bothered or distressed were you during the past month by ...... - Having urges to break or smash things,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_68,numeric,How bothered or distressed were you during the past month by ...... - Having ideas or beliefs that others do not share,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_69,numeric,How bothered or distressed were you during the past month by ...... - Feeling very self-conscious with others,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_70,numeric,"How bothered or distressed were you during the past month by ...... - Feeling uneasy in crowds, such as shopping or at a movie",NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_71,numeric,How bothered or distressed were you during the past month by ...... - Feeling everything is an effort,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_72,numeric,How bothered or distressed were you during the past month by ...... - Spells of terror or panic,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_73,numeric,How bothered or distressed were you during the past month by ...... - Feeling uncomfortable about eating or drinking in public,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_74,numeric,How bothered or distressed were you during the past month by ...... - Getting into frequent arguments,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_75,numeric,How bothered or distressed were you during the past month by ...... - Feeling nervous when you are left alone,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_76,numeric,How bothered or distressed were you during the past month by ...... - Others not giving you proper credit for your achievements,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_77,numeric,How bothered or distressed were you during the past month by ...... - Feeling lonely even when you are with people,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_78,numeric,How bothered or distressed were you during the past month by ...... - Feeling so restless you couldn't sit still,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_79,numeric,How bothered or distressed were you during the past month by ...... - Feelings of worthlessness,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_80,numeric,How bothered or distressed were you during the past month by ...... - Feeling that familiar things are strange or unreal,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_81,numeric,How bothered or distressed were you during the past month by ...... - Shouting or throwing things,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_82,numeric,How bothered or distressed were you during the past month by ...... - Feeling afraid you will faint in public,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_83,numeric,How bothered or distressed were you during the past month by ...... - Feeling that people will take advantage of you if you let them,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_84,numeric,How bothered or distressed were you during the past month by ...... - Having thoughts about sex that bother you a lot,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_85,numeric,How bothered or distressed were you during the past month by ...... - The idea that you should be punished for your sins,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_86,numeric,How bothered or distressed were you during the past month by ...... - Feeling pushed to get things done,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_87,numeric,How bothered or distressed were you during the past month by ...... - The idea that something serious is wrong with your body,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_88,numeric,How bothered or distressed were you during the past month by ...... - Never feeling close to another person,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_89,numeric,How bothered or distressed were you during the past month by ...... - Feelings of guilt,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
scl90_90,numeric,How bothered or distressed were you during the past month by ...... - The idea that something is wrong with your mind,NA,Not At All,A Little Bit,Moderately,Quite A Bit,Extremely,NA,NA,NA,NA,NA
ius_1,numeric,Uncertainty stops me from having a firm opinion.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_2,numeric,Being uncertain means that a person is disorganized.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_3,numeric,Uncertainty makes life intolerable.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_4,numeric,It's unfair not having any guarantees in life.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_5,numeric,My mind can't be relaxed if I don't know what will happen tomorrow.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_6,numeric,"Uncertainty makes me uneasy, anxious, or stressed.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_7,numeric,Unforeseen events upset me greatly.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_8,numeric,It frustrates me not having all the information I need.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_9,numeric,Uncertainty keeps me from living a full life.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_10,numeric,One should always look ahead so as to avoid surprises.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_11,numeric,"A small unforeseen event can spoil everything, even with the best of planning.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_12,numeric,When it's time to act uncertainty paralyses me.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_13,numeric,Being uncertain means that I am not first rate.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_14,numeric,"When I am uncertain, I can't go forward.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_15,numeric,When I am uncertain I can't function very well.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_16,numeric,"Unlike me, others always seem to know where they are going with their lives.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_17,numeric,"Uncertainty makes me vulnerable, unhappy, or sad.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_18,numeric,I always want to know what the future has in store for me.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_19,numeric,I can't stand being taken by surprise.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_20,numeric,The smallest doubt can stop me from acting.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_21,numeric,I should be able to organize everything in advance.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_22,numeric,Being uncertain means that I lack confidence.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_23,numeric,I think it's unfair that other people seem sure about their future.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_24,numeric,Uncertainty keeps me from sleeping soundly.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_25,numeric,I must get away from all uncertain situations.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_26,numeric,The ambiguities in life stress me.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
ius_27,numeric,I can't stand being undecided about my future.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_1,numeric,It is important not to appear nervous.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_2,numeric,"When I cannot keep my mind on a task, I worry that I might be going crazy.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_3,numeric,It scares me when my heart beats rapidly.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_4,numeric,"When my stomach is upset, I worry that I might be seriously ill.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_5,numeric,It scares me when I am unable to keep my mind on a task.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_6,numeric,"When I tremble in the presence of others, I fear what people might think of me.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_7,numeric,"When my chest feels tight, I get scared that I won't be able to breathe properly.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_8,numeric,"When I feel pain in my chest, I worry that I'm going to have a heart attack.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_9,numeric,I worry that other people will notice my anxiety.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_10,numeric,"When I feel ""spacey"" or spaced out I worry that I may be mentally ill.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_11,numeric,It scares me when I blush in front of people.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_12,numeric,"When I notice my heart skipping a beat, I worry that there is something seriously wrong with me.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_13,numeric,"When I begin to sweat in a social situation, I fear people will think negatively of me.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_14,numeric,"When my thoughts seem to speed up, I worry that I might be going crazy.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_15,numeric,"When my throat feels tight, I worry that I could choke to death.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_16,numeric,"When I have trouble thinking clearly, I worry that there is something wrong with me.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_17,numeric,I think it would be horrible for me to faint in public.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
asi3_18,numeric,"When my mind goes blank, I worry there is something terribly wrong with me.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_1,numeric,Feeling distressed or upset is unbearable to me.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_2,numeric,"When I feel distressed or upset, all I can think about is how bad I feel.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_3,numeric,I can't handle feeling distressed or upset.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_4,numeric,My feelings of distress are so intense that they completely take over.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_5,numeric,There's nothing worse than feeling distressed or upset.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_6,numeric,I can tolerate being distressed or upset as well as most people.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_7,numeric,My feelings of distress or being upset are not acceptable,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_8,numeric,I'll do anything to avoid feeling distressed or upset.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_9,numeric,Other people seem to be able to tolerate feeling distressed or upset better than I can.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_10,numeric,Being distressed or upset is always a major ordeal for me.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_11,numeric,I am ashamed of myself when I feel distressed or    upset.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_12,numeric,My feelings of distress or being upset scare me.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_13,numeric,I'll do anything to stop feeling distressed or upset.,NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_14,numeric,"When I feel distressed or upset, I must do something about   it immediately.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
dts_15,numeric,"When I feel distressed or upset, I cannot help but concentrate on how bad the distress actually feels.",NA,Very untrue of me,Somewhat untrue of me,Neutral,Somewhat true of me,Very true of me,NA,NA,NA,NA,NA
fad_1,numeric,Planning family activities is difficult because we misunderstand each other.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_2,numeric,We resolve most everyday problems around the house.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_3,numeric,When someone is upset the others know why.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_4,numeric,"When you ask someone to do something, you have to check that they did it.",NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_5,numeric,"When someone is in trouble, the others become too involved.",NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_6,numeric,In time of crisis we can turn to each other for support.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_7,numeric,We don't know what to do when an emergency comes up.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_8,numeric,We sometimes run out of things that we need.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_9,numeric,We are reluctant to show affection for each other.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_10,numeric,We make sure members meet their family responsibilities.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_11,numeric,We cannot talk to each other about the sadness we feel.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_12,numeric,We usually act on our decisions regarding problems.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_13,numeric,You only get the interest of others when something is important to them.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_14,numeric,You can't tell how a person is feeling from what they are saying.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_15,numeric,Family tasks don't get spread around enough.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_16,numeric,Individuals are accepted for what they are.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_17,numeric,You can easily get away with breaking the rules.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_18,numeric,People come right out and say things instead of hinting at them.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_19,numeric,Some of us just don't respond emotionally.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_20,numeric,We know what to do in an emergency.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_21,numeric,We avoid discussing our fears and concerns.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_22,numeric,It is difficult to talk to each other about tender feelings.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_23,numeric,We have trouble meeting our bills.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_24,numeric,"After our family tries to solve a problem, we usually discuss whether it worked or not.",NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
fad_25,numeric,We are too self-centered.,NA,Strongly Disagree,Disagree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA
